R,sum_ek,mEJ,EN,E_total
0.5,-0.8239959406419054,-1.5145007608303138,2.0,-0.3384967014722191
0.6,-0.771543050540924,-1.499471115893347,1.6666666666666667,-0.6043474997676042
0.7,-0.7194854536436897,-1.4832667574785119,1.4285714285714286,-0.7741807825507732
0.8,-0.6689221387511267,-1.466121092336796,1.25,-0.8850432310879226
0.9,-0.6209190228823189,-1.4480514095065773,1.1111111111111112,-0.9578593212777853
1.0,-0.5760037743230272,-1.4291756130528304,1.0,-1.0051793873758577
1.1,-0.5343313434328124,-1.4096762440829067,0.9090909090909091,-1.03491667842481
1.2000000000000002,-0.49585540935475536,-1.3897488659867758,0.8333333333333333,-1.052270942008198
1.3,-0.46043180626873614,-1.3695751966667622,0.7692307692307692,-1.060776233704729
1.4,-0.42787245063061874,-1.3493142108099623,0.7142857142857143,-1.0629009471548665
1.5,-0.3979715371473379,-1.3291021413024677,0.6666666666666666,-1.060407011783139
1.6,-0.37051765362663747,-1.3090558768810658,0.625,-1.0545735305077033
1.7000000000000002,-0.3452993432390685,-1.2892769607533552,0.588235294117647,-1.0463410098747767
1.8,-0.3221081505955349,-1.269854885095383,0.5555555555555556,-1.0364074801353624
1.9000000000000001,-0.30074106480310003,-1.250869250863923,0.5263157894736842,-1.0252945261933388
2.0,-0.2810028950250415,-1.2323909148213703,0.5,-1.013393809846412
2.1,-0.2627085126559028,-1.2144824478262861,0.47619047619047616,-1.0010004842917128
2.2,-0.245684911562142,-1.19719814500583,0.45454545454545453,-0.9883376020225174
2.3,-0.2297731729485163,-1.1805837096875351,0.4347826086956522,-0.9755742739403993
2.4000000000000004,-0.21483030585225882,-1.1646757356296615,0.41666666666666663,-0.9628393748152536
2.5,-0.20073080129621113,-1.1495011775127626,0.4,-0.9502319788089738
2.6,-0.1873675705254202,-1.1350770197612994,0.3846153846153846,-0.9378292056713349
2.7,-0.17465206183093251,-1.1214103049000457,0.37037037037037035,-0.9256919963606077
2.8000000000000003,-0.1625134657298346,-1.1084985982150541,0.3571428571428571,-0.9138692068020317
2.9000000000000004,-0.15089706891189203,-1.0963308771019127,0.3448275862068965,-0.9024003598069081
3.0,-0.13976195647974266,-1.0848887586989797,0.3333333333333333,-0.8913173818453892
